School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
A. Mario Loiederman Middle,4,Montgomery County,SILVER SPRING,MD 
Abbottston Elementary,2,Baltimore city,BALTIMORE,MD 
Aberdeen High,6,Harford County,ABERDEEN,MD 
Aberdeen Middle,5,Harford County,ABERDEEN,MD 
Abingdon Elementary,8,Harford County,ABINGDON,MD 
Academy for College and Career Exploration,2,Baltimore city,BALTIMORE,MD 
Academy of Health Sciences at PGCC,NaN,Prince George's County,LARGO,MD 
Accident Elementary,6,Garrett County,ACCIDENT,MD 
Accokeek Academy,6,Prince George's County,ACCOKEEK,MD 
Achievement Academy @ Harbor City High,NaN,Baltimore city,BALTIMORE,MD 
Adelphi Elementary,4,Prince George's County,ADELPHI,MD 
Afternoon Group Learning Centers,NaN,Baltimore County,TOWSON,MD 
Afya Public Charter School,2,Baltimore city,BALTIMORE,MD 
Albert Einstein High,4,Montgomery County,KENSINGTON,MD 
Alexander Hamilton Elementary,1,Baltimore city,BALTIMORE,MD 
Allegany High,6,Allegany County,CUMBERLAND,MD 
Allenwood Elementary,3,Prince George's County,TEMPLE HILLS,MD 
Alternative Programs,1,Montgomery County,ROCKVILLE,MD 
Andrew Jackson Academy,3,Prince George's County,FORESTVILLE,MD 
Annapolis Elementary,5,Anne Arundel County,ANNAPOLIS,MD 
Annapolis High,5,Anne Arundel County,ANNAPOLIS,MD 
Annapolis Middle,5,Anne Arundel County,ANNAPOLIS,MD 
Annapolis Road Academy,1,Prince George's County,BLADENSBURG,MD 
Anne Arundel Evening High,NaN,Anne Arundel County,SEVERNA PARK,MD 
Apple Grove Elementary,4,Prince George's County,FORT WASHINGTON,MD 
Applications and Research Laboratory,NaN,Howard County,ELLICOTT CITY,MD 
Arbutus Elementary,5,Baltimore County,BALTIMORE,MD 
Arbutus Middle,6,Baltimore County,BALTIMORE,MD 
Arcola Elementary,2,Montgomery County,SILVER SPRING,MD 
Ardmore Elementary,4,Prince George's County,SPRINGDALE,MD 
Argyle Middle,5,Montgomery County,SILVER SPRING,MD 
Arlington Elementary/Middle,2,Baltimore city,BALTIMORE,MD 
Armistead Gardens Elementary,4,Baltimore city,BALTIMORE,MD 
Arnold Elementary,9,Anne Arundel County,ARNOLD,MD 
Arrowhead Elementary,3,Prince George's County,UPPER MARLBORO,MD 
Arthur Middleton Elementary School,5,Charles County,WALDORF,MD 
Arundel Elementary/Middle,1,Baltimore city,BALTIMORE,MD 
Arundel High,6,Anne Arundel County,GAMBRILLS,MD 
Arundel Middle,6,Anne Arundel County,ODENTON,MD 
Ashburton Elementary,8,Montgomery County,BETHESDA,MD 
Atholton Elementary,8,Howard County,COLUMBIA,MD 
Atholton High,8,Howard County,COLUMBIA,MD 
Augusta Fells Savage Institute of Visual Arts,1,Baltimore city,BALTIMORE,MD 
Avalon Elementary,5,Prince George's County,FORT WASHINGTON,MD 
Baden Elementary,6,Prince George's County,BRANDYWINE,MD 
Bainbridge Elementary,4,Cecil County,PORT DEPOSIT,MD 
Bakerfield Elementary,5,Harford County,ABERDEEN,MD 
Ballenger Creek Elementary,7,Frederick County,FREDERICK,MD 
Ballenger Creek Middle,7,Frederick County,FREDERICK,MD 
Baltimore City College,7,Baltimore city,BALTIMORE,MD 
Baltimore Collegiate School for Boys,NaN,Baltimore city,BALTIMORE,MD 
Baltimore Community High School,NaN,Baltimore city,BALTIMORE,MD 
Baltimore County Home & Hospital,NaN,Baltimore County,TOWSON,MD 
Baltimore Design School,2,Baltimore city,BALTIMORE,MD 
Baltimore Highlands Elementary,3,Baltimore County,BALTIMORE,MD 
Baltimore I.T. Academy,2,Baltimore city,BALTIMORE,MD 
Baltimore International Academy,4,Baltimore city,BALTIMORE,MD 
Baltimore Leadership School for Young Women,3,Baltimore city,BALTIMORE,MD 
Baltimore Montessori Public Charter Middle School,4,Baltimore city,BALTIMORE,MD 
Baltimore Montessori Public Charter School,3,Baltimore city,BALTIMORE,MD 
Baltimore Polytechnic Institute,8,Baltimore city,BALTIMORE,MD 
Baltimore School for the Arts,7,Baltimore city,BALTIMORE,MD 
Banneker Blake Academy for Arts and Sciences,NaN,Baltimore city,BALTIMORE,MD 
Bannockburn Elementary,10,Montgomery County,BETHESDA,MD 
Barack Obama Elementary,5,Prince George's County,UPPER MARLBORO,MD 
Barbara Ingram School for the Arts,9,Washington County,HAGERSTOWN,MD 
Barclay Elementary/Middle,2,Baltimore city,BALTIMORE,MD 
Bard High School Early College,NaN,Baltimore city,BALTIMORE,MD 
Barnaby Manor Elementary,3,Prince George's County,OXON HILL,MD 
Barstow Elementary,6,Calvert County,PRINCE FREDERICK,MD 
Battle Grove Elementary,4,Baltimore County,BALTIMORE,MD 
Battle Monument School,NaN,Baltimore County,BALTIMORE,MD 
Bay View Elementary,4,Cecil County,NORTH EAST,MD 
Bay-Brook Elementary,1,Baltimore city,BALTIMORE,MD 
Bayside Elementary School,7,Queen Anne's County,STEVENSVILLE,MD 
BCDC Educational Center,NR,Baltimore County,TOWSON,MD 
Beach Elementary,8,Calvert County,CHESAPEAKE BEACH,MD 
Beacon Heights Elementary,3,Prince George's County,RIVERDALE,MD 
Beall Elementary,7,Allegany County,FROSTBURG,MD 
Beall Elementary,7,Montgomery County,ROCKVILLE,MD 
Bear Creek Elementary,4,Baltimore County,BALTIMORE,MD 
Beaver Run School,NaN,Wicomico County,SALISBURY,MD 
Bedford Elementary,4,Baltimore County,BALTIMORE,MD 
Beechfield Elementary,2,Baltimore city,BALTIMORE,MD 
Bel Air Elementary,9,Harford County,BEL AIR,MD 
Bel Air Elementary,5,Allegany County,CUMBERLAND,MD 
Bel Air High,8,Harford County,BEL AIR,MD 
Bel Air Middle,10,Harford County,BEL AIR,MD 
Bel Pre Elementary,NaN,Montgomery County,SILVER SPRING,MD 
Belle Grove Elementary,4,Anne Arundel County,BALTIMORE,MD 
Bellows Spring Elementary,7,Howard County,ELLICOTT CITY,MD 
Bells Mill Elementary,10,Montgomery County,POTOMAC,MD 
Belmont Elementary,9,Montgomery County,OLNEY,MD 
Belmont Elementary,1,Baltimore city,BALTIMORE,MD 
Beltsville Academy,6,Prince George's County,BELTSVILLE,MD 
Belvedere Elementary,8,Anne Arundel County,ARNOLD,MD 
Benfield Elementary,9,Anne Arundel County,SEVERNA PARK,MD 
Benjamin Banneker Elementary,5,St. Mary's County,LOVEVILLE,MD 
Benjamin Banneker Middle,6,Montgomery County,BURTONSVILLE,MD 
Benjamin D. Foulois Academy,6,Prince George's County,MORNINGSIDE,MD 
Benjamin Franklin High School at Masonville Cove,2,Baltimore city,BALTIMORE,MD 
Benjamin Stoddert Middle,NaN,Prince George's County,TEMPLE HILLS,MD 
Benjamin Stoddert Middle School,4,Charles County,WALDORF,MD 
Benjamin Tasker Middle School,3,Prince George's County,BOWIE,MD 
Bennett Middle,5,Wicomico County,FRUITLAND,MD 
Berkshire Elementary,4,Baltimore County,BALTIMORE,MD 
Berlin Intermediate,7,Worcester County,BERLIN,MD 
Berry Elementary School,7,Charles County,WALDORF,MD 
Berwyn Heights Elementary,3,Prince George's County,BERWYN HEIGHTS,MD 
Bester Elementary,2,Washington County,HAGERSTOWN,MD 
Bethesda Elementary,9,Montgomery County,BETHESDA,MD 
Bethesda-Chevy Chase High,6,Montgomery County,BETHESDA,MD 
Beverly Farms Elementary,8,Montgomery County,POTOMAC,MD 
Bladensburg Elementary,3,Prince George's County,BLADENSBURG,MD 
Bladensburg Evening/Saturday High,NaN,Prince George's County,BLADENSBURG,MD 
Bladensburg High,3,Prince George's County,BLADENSBURG,MD 
Bluford Drew Jemison STEM Academy West,NaN,Baltimore city,BALTIMORE,MD 
Bodkin Elementary,7,Anne Arundel County,PASADENA,MD 
Bohemia Manor High,4,Cecil County,CHESAPEAKE CITY,MD 
Bohemia Manor Middle,5,Cecil County,CHESAPEAKE CITY,MD 
Bollman Bridge Elementary,5,Howard County,JESSUP,MD 
Bond Mill Elementary,6,Prince George's County,LAUREL,MD 
Bonnie Branch Middle,7,Howard County,ELLICOTT CITY,MD 
Booker T. Washington Middle,1,Baltimore city,BALTIMORE,MD 
Boonsboro Elementary,6,Washington County,BOONSBORO,MD 
Boonsboro High,7,Washington County,BOONSBORO,MD 
Boonsboro Middle,7,Washington County,BOONSBORO,MD 
Bowie High,5,Prince George's County,BOWIE,MD 
Bradbury Heights Elementary,2,Prince George's County,CAPITAL HEIGHTS,MD 
Braddock Middle,6,Allegany County,CUMBERLAND,MD 
Bradley Hills Elementary,10,Montgomery County,BETHESDA,MD 
Brandywine Elementary,3,Prince George's County,BRANDYWINE,MD 
Brehms Lane Elementary,2,Baltimore city,BALTIMORE,MD 
Briggs Chaney Middle,6,Montgomery County,SILVER SPRING,MD 
Broad Acres Elementary,5,Montgomery County,SILVER SPRING,MD 
Broad Ford Elementary,5,Garrett County,OAKLAND,MD 
Broadneck Elementary,7,Anne Arundel County,ARNOLD,MD 
Broadneck High,8,Anne Arundel County,ANNAPOLIS,MD 
Brock Bridge Elementary,6,Anne Arundel County,LAUREL,MD 
Brooke Grove Elementary,8,Montgomery County,OLNEY,MD 
Brookhaven Elementary,5,Montgomery County,ROCKVILLE,MD 
Brooklyn Park Elementary,5,Anne Arundel County,BALTIMORE,MD 
Brooklyn Park Middle,6,Anne Arundel County,BALTIMORE,MD 
Brown Station Elementary,5,Montgomery County,GAITHERSBURG,MD 
Brunswick Elementary,7,Frederick County,BRUNSWICK,MD 
Brunswick High,7,Frederick County,BRUNSWICK,MD 
Brunswick Middle,7,Frederick County,BRUNSWICK,MD 
Bryant Woods Elementary,5,Howard County,COLUMBIA,MD 
Buck Lodge Middle,3,Prince George's County,ADELPHI,MD 
Buckingham Elementary,8,Worcester County,BERLIN,MD 
Burleigh Manor Middle School,8,Howard County,ELLICOTT CITY,MD 
Burning Tree Elementary,9,Montgomery County,BETHESDA,MD 
Burnt Mills Elementary,5,Montgomery County,SILVER SPRING,MD 
Burtonsville Elementary,6,Montgomery County,BURTONSVILLE,MD 
Bushy Park Elementary,10,Howard County,GLENWOOD,MD 
C. Elizabeth Rieg Regional Center,1,Prince George's County,MITCHELLVILLE,MD 
C. Milton Wright High,8,Harford County,BEL AIR,MD 
C. Paul Barnhart Elementary School,6,Charles County,WALDORF,MD 
Cabin John Middle School,9,Montgomery County,POTOMAC,MD 
Callaway Elementary,2,Baltimore city,BALTIMORE,MD 
Calvert Country School,NaN,Calvert County,PRINCE FREDERICK,MD 
Calvert County Alternative School,NaN,Calvert County,PRINCE FREDERICK,MD 
Calvert Elementary,5,Cecil County,RISING SUN,MD 
Calvert Elementary,7,Calvert County,PRINCE FREDERICK,MD 
Calvert High,6,Calvert County,PRINCE FREDERICK,MD 
Calvert Middle,6,Calvert County,PRINCE FREDERICK,MD 
Calverton,1,Baltimore city,BALTIMORE,MD 
