School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
A. MARIO LOIEDERMAN MIDDLE,Maryland,MD ,A. Mario Loiederman Middle,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,1-Yes,2-Middle,919,919,56,198,107,919,367,552,MARYLAND,62.6,14.68
ABBOTTSTON ELEMENTARY,Maryland,MD ,Abbottston Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,217,217,1,205,5,217,106,111,MARYLAND,11,19.73
ABERDEEN HIGH,Maryland,MD ,Aberdeen High,Harford County,ABERDEEN,MD ,1-Regular school,2-No,1-Yes,3-High,1453,1453,63,515,593,1453,790,663,MARYLAND,95.33,15.24
ABERDEEN MIDDLE,Maryland,MD ,Aberdeen Middle,Harford County,ABERDEEN,MD ,1-Regular school,2-No,2-No,2-Middle,1184,1184,41,443,473,1184,562,622,MARYLAND,80.34,14.74
ABINGDON ELEMENTARY,Maryland,MD ,Abingdon Elementary,Harford County,ABINGDON,MD ,1-Regular school,2-No,2-No,1-Primary,809,809,24,129,549,809,410,399,MARYLAND,51.59,15.68
ACADEMY FOR COLLEGE AND CAREER EXPLORATION,Maryland,MD ,Academy for College and Career Exploration,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,608,608,2,569,27,608,339,269,MARYLAND,40,15.2
ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,MD ,Academy of Health Sciences at PGCC,Prince George's County,LARGO,MD ,1-Regular school,2-No,1-Yes,3-High,407,407,40,286,13,407,139,268,MARYLAND,15,27.13
ACCIDENT ELEMENTARY,Maryland,MD ,Accident Elementary,Garrett County,ACCIDENT,MD ,1-Regular school,2-No,2-No,1-Primary,243,243,0,2,237,243,122,121,MARYLAND,20,12.15
ACCOKEEK ACADEMY,Maryland,MD ,Accokeek Academy,Prince George's County,ACCOKEEK,MD ,1-Regular school,2-No,1-Yes,1-Primary,1445,1445,63,1125,79,1445,703,742,MARYLAND,85.36,16.93
ACHIEVEMENT ACADEMY @ HARBOR CITY HIGH,Maryland,MD ,Achievement Academy @ Harbor City High,Baltimore city,BALTIMORE,MD ,4-Alternative/other school,2-No,2-No,3-High,340,340,0,335,0,340,204,136,MARYLAND,23,14.78
